Tag,Program,Comment
,xorg-server,main graphical server
,xorg-xinit,starts the graphical server
,i3-gaps,window manager
,rofi,program launcher
,kitty,terminal emulator
,lightdm,display manager
,lightdm-gtk-greeter,login greeter
,lightdm-gtk-greeter-settings,settings for the login greeter
,cmatrix,nice to look at
,discord,chat client
,feh,image viewer and manager
,firefox,web browser
,ffmpeg,multimedia manipulation tool
,gcc,compiler collection
,gucharmap,tool to show characters in fonts
,htop,a process manager
,i3lock,lock utility
,imagemagick,image manipulation tool
,man,tool to show manuals
,neofetch,system information tool
,neovim,powerful text editor
,networkmanager,network management tool
,network-manager-applet,GUI network manager
,pulseaudio-alsa,audio drivers
,scrot,screenshot utility
,shellcheck,shell script analysis tool
,subversion,version control software
A,cava,audio visualizer
A,compton-tryone-git,compositor for the WM
A,light-git,tool to control screen brightness
A,pipes.sh,nice to look at
A,polybar,status bar
A,ttf-inconsolata,terminal font of choice
A,ttf-ms-fonts,collection of Microsoft fonts
P,pywal,tool to generate colour schemes
